fips,median_age,white_pct,black_pct,hispanic_pct
21029,41.3,92.3,1.2,1.1
21031,41.1,94.0,0.2,1.7
21033,42.3,91.0,5.0,0.7
21035,35.4,89.5,3.8,1.0
21037,39.0,91.5,2.8,0.7
21039,43.6,92.4,1.4,1.2
21041,38.5,87.0,2.3,1.2
21043,41.8,95.6,0.5,0.8
21045,41.5,95.7,0.5,0.7
21047,28.6,67.7,19.3,1.3
21049,40.8,89.7,4.3,1.1
21051,40.6,92.2,4.7,0.8
21053,42.5,95.0,0.0,2.0
21055,42.8,96.2,0.5,1.0
21057,45.1,93.1,1.6,1.7
21059,38.7,86.7,4.4,1.5
21061,45.3,94.9,0.7,1.0
21063,44.4,93.7,3.0,2.0
21065,44.3,96.4,0.1,0.7
21067,35.2,69.9,14.4,1.0
21069,41.0,95.1,1.1,0.4
21071,43.1,96.6,0.6,0.5
21073,40.6,81.7,9.2,1.1
21075,41.2,69.6,24.3,1.3
21077,39.7,89.1,2.7,1.0
21079,42.9,92.5,2.2,0.7
21081,36.4,92.8,0.8,0.6
21083,40.0,86.5,4.1,1.1
21085,40.3,95.8,1.0,0.8
21087,45.2,95.9,1.2,0.7
21089,43.9,95.4,0.6,0.9
21091,41.5,94.5,1.1,1.8
21093,37.4,76.7,11.6,1.8
21095,41.2,94.3,1.5,1.9
21097,42.4,94.0,1.9,1.5
21099,40.6,91.3,4.6,0.8
21101,41.0,85.8,6.8,1.8
21103,41.6,91.0,2.7,1.2
21105,46.4,86.4,9.2,0.7
21107,41.3,88.0,6.1,1.5
21109,40.6,96.9,0.2,0.9
21111,38.4,65.3,22.0,1.2
21113,38.7,88.2,4.0,0.9
21115,42.0,95.4,0.6,0.7
21117,37.8,87.1,4.2,0.8
21119,44.4,96.7,1.0,0.6
21121,39.8,95.7,0.8,0.9
21123,41.3,91.3,2.2,1.7
21125,39.9,95.8,0.5,1.1
21127,42.0,97.3,0.0,0.7
21129,43.4,94.5,2.1,2.2
21131,42.2,96.9,0.5,1.3
21133,43.3,97.3,0.7,0.7
21135,42.1,97.0,0.0,0.1
21137,41.9,93.0,1.7,1.1
21139,45.7,95.6,0.3,1.2
21141,40.6,89.4,4.6,2.5
21143,47.8,88.5,6.9,1.0
21145,42.4,82.5,10.0,1.0
21147,38.7,90.1,6.9,1.6
21149,43.2,95.8,0.8,0.9
21151,34.7,89.4,3.5,1.2
21153,41.9,98.1,0.1,1.1
21155,39.6,88.2,7.2,0.6
21157,44.9,96.2,0.7,0.6
21159,40.3,88.0,7.5,0.8
21161,42.3,87.4,6.2,1.9
21163,39.3,90.0,3.5,1.6
21165,45.1,97.1,0.2,0.8
21167,42.8,91.1,3.6,1.0
21169,41.9,94.1,2.2,0.7
21171,41.3,93.6,2.6,0.5
21173,40.6,92.5,2.6,0.9
21175,41.8,90.4,4.1,0.8
21177,42.8,92.5,2.1,0.9
21179,39.7,90.8,5.3,1.1
21181,38.9,96.6,1.0,1.6
21183,40.9,92.7,1.1,1.0
21185,39.7,87.6,3.7,1.1
21187,42.5,94.3,0.4,0.8
21189,47.9,93.3,0.0,0.5
21191,41.7,93.1,0.7,0.8
21193,41.4,94.4,1.0,2.0
21195,42.9,95.1,0.6,0.6
21197,39.3,93.8,1.7,1.1
21199,42.2,94.6,0.9,1.0
21201,39.7,95.0,2.1,1.6
21203,42.8,96.6,0.6,1.0
21205,31.2,95.3,1.8,0.8
21207,42.2,92.8,1.0,1.1
21209,36.4,85.8,4.8,1.2
21211,40.9,81.3,4.7,2.9
21213,39.0,84.5,7.0,3.8
21215,43.3,94.3,1.0,1.9
21217,37.7,90.0,4.6,1.6
21219,36.3,85.7,7.2,0.8
21221,46.6,87.3,6.4,1.3
21223,40.9,93.5,0.8,0.6
21225,41.3,88.9,8.1,0.7
21227,33.4,77.7,8.6,1.1
21229,42.2,88.1,5.2,3.6
21231,43.4,92.4,1.4,0.9
21233,39.6,88.6,4.3,0.4
21235,35.4,95.8,1.1,0.9
21237,41.5,96.1,0.2,1.1
21239,42.3,87.8,4.0,0.9
22001,37.0,77.4,15.7,1.9
22003,38.9,70.1,19.5,3.8
22005,36.4,65.3,22.9,1.4
22007,42.0,65.5,28.6,1.1
22009,38.2,64.3,26.5,4.2
22011,36.9,80.1,11.0,1.8
22013,42.5,54.3,41.4,1.5
22015,36.2,65.1,23.8,1.4
22017,39.2,43.8,49.1,1.1
22019,37.2,67.0,23.7,1.5
22021,40.7,77.8,18.2,0.1
22023,43.0,85.7,1.2,10.5
22025,38.8,63.5,34.7,0.4
22027,41.9,44.9,48.8,0.4
22029,37.7,57.0,38.9,1.0
22031,40.1,60.3,35.0,2.0
22033,34.2,43.2,44.3,1.1
22035,35.7,29.4,64.9,1.4
22037,44.6,54.7,39.9,2.8
22039,37.7,65.7,25.7,1.3
22041,39.1,66.6,28.7,3.8
22043,38.5,78.2,14.8,1.9
22045,37.8,57.3,30.7,2.1
22047,40.3,48.2,45.3,2.0
22049,41.5,66.9,25.5,3.4
22051,39.9,52.7,26.0,2.2
22053,37.4,77.3,14.7,1.2
22055,36.4,64.0,25.4,0.8
22057,39.0,76.4,13.2,4.6
22059,38.6,80.8,11.3,1.5
22061,28.6,53.6,37.0,3.1
22063,36.4,83.3,8.3,1.2
22065,34.6,33.8,62.9,0.8
22067,40.3,47.9,48.1,1.4
22069,33.3,51.0,40.0,2.5
22071,38.4,31.6,55.2,1.6
22073,36.6,56.7,37.1,1.0
22075,36.8,61.8,22.4,3.0
22077,43.2,61.2,32.3,1.8
22079,37.8,61.2,31.1,1.9
22081,40.4,57.4,40.2,0.7
22083,39.8,60.6,36.1,0.8
22085,41.3,67.2,14.4,12.7
22087,35.8,61.6,23.8,2.4
22089,39.1,65.0,22.9,2.7
22091,42.4,46.5,50.2,1.9
22093,40.8,49.7,48.4,0.5
22095,38.5,32.3,56.2,0.9
22097,37.5,53.4,40.3,1.1
22099,39.7,64.8,28.6,1.3
22101,39.7,56.1,29.1,2.8
22103,40.4,75.0,12.2,2.0
22105,35.7,62.0,29.9,0.9
22107,47.4,41.6,53.3,0.5
22109,37.3,65.4,19.3,7.8
22111,43.5,69.7,24.8,0.9
22113,39.4,78.4,13.0,0.7
22115,32.1,74.4,13.1,2.3
22117,41.0,65.2,29.7,1.1
22119,41.2,62.9,33.4,1.0
22121,36.6,54.3,40.5,0.7
22123,41.4,80.6,15.4,0.4
22125,42.2,50.5,45.6,1.7
22127,41.6,63.7,28.8,1.2
23001,40.8,88.7,4.7,1.8
23003,48.4,93.4,0.8,2.8
23005,42.1,87.6,3.3,1.0
23007,46.1,94.4,0.6,1.6
23009,49.1,93.9,0.9,1.2
23011,44.0,93.4,0.8,1.6
23013,49.2,94.7,0.4,1.4
23015,51.1,94.0,0.5,1.1
23017,48.3,93.7,0.3,1.5
23019,42.5,92.1,1.0,2.3
23021,51.4,93.4,0.8,1.5
23023,47.3,93.5,0.5,1.0
23025,46.9,95.1,0.5,1.4
23027,46.9,93.9,0.6,1.3
23029,48.6,88.5,1.0,6.7
23031,45.3,91.4,1.1,1.3
24001,41.7,87.3,7.1,0.8
24003,39.0,65.1,17.7,1.7
24005,39.5,54.1,30.3,1.2
24009,40.5,76.5,12.2,1.4
24011,39.8,74.1,13.8,2.7
24013,41.3,87.2,4.0,0.7
24015,40.8,83.1,7.1,1.0
24017,38.8,35.4,49.2,3.0
24019,43.9,61.9,25.3,1.5
24021,38.9,70.3,10.3,1.3
24023,48.1,95.5,0.8,1.2
24025,40.5,74.1,14.5,1.1
24027,39.4,48.9,20.0,1.3
24029,48.4,77.7,14.2,0.9
24031,40.1,44.4,18.6,1.5
24033,38.5,13.2,59.8,1.9
24035,44.8,84.3,6.0,0.9
24037,37.0,72.3,14.8,1.7
24039,38.1,52.2,39.5,3.4
24041,51.1,75.7,12.0,1.7
24043,41.0,76.8,11.5,1.1
24045,36.2,60.6,26.5,1.1
24047,50.7,79.5,12.2,0.8
24510,36.1,27.4,60.0,1.3
25001,55.1,87.0,2.7,1.4
25003,47.8,87.3,2.5,1.2
25005,40.9,78.6,4.4,1.2
25007,50.4,81.7,3.3,1.9
